t,variable,value,scenario,is_baseline,regime,uncertainty,value_lo,value_hi
8,cotton_a_indx,6.344151918497801e-4,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
1,crude_wti,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
2,crude_wti,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
3,crude_wti,-0.11562255935012286,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
4,crude_wti,-0.0053087320007665995,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
5,crude_wti,0.013692045222450766,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
6,crude_wti,0.00826100203982201,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
7,crude_wti,0.003464047266484568,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
8,crude_wti,0.0011635211862219804,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
1,gold,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
2,gold,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
3,gold,0.015706725267875823,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
4,gold,-0.019252535980468947,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
5,gold,-0.013833145798564615,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
6,gold,-0.007083177514060675,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
7,gold,-0.0032418271171815987,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
8,gold,-0.0014756731889790512,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
1,lead,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
2,lead,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
3,lead,-0.09978151456382013,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
4,lead,-0.005919130484786657,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
5,lead,0.004302892173415203,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
6,lead,0.00106825183956708,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
7,lead,-6.1936450301335e-4,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
8,lead,-9.98081618143402e-4,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
1,maize,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
2,maize,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
