scenario,regime,variable,t,sum_contrib,uncertainty,delta,residual
GIRF — aluminium to uncertainty shock,combined,ngas_us,12,-0.25043582053889585,vxo,-0.25043582053889585,0
GIRF — aluminium to uncertainty shock,combined,ngas_us,13,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,ngas_us,14,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,ngas_us,15,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,ngas_us,16,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,ngas_us,17,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,ngas_us,18,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,ngas_us,19,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,ngas_us,20,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,ngas_us,21,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,ngas_us,22,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,ngas_us,23,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,ngas_us,24,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,nickel,1,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,nickel,2,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,nickel,3,0.11253433964860798,vxo,0.112534339648608,1.3877787807814457e-17
GIRF — aluminium to uncertainty shock,combined,nickel,4,0.0036902229901555994,vxo,0.0036902229901556,4.336808689942018e-19
GIRF — aluminium to uncertainty shock,combined,nickel,5,-0.24698729892014917,vxo,-0.24698729892014928,-1.1102230246251565e-16
GIRF — aluminium to uncertainty shock,combined,nickel,6,0.20930054498078302,vxo,0.209300544980783,-2.7755575615628914e-17
GIRF — aluminium to uncertainty shock,combined,nickel,7,0.01912081192605031,vxo,0.01912081192605031,0
GIRF — aluminium to uncertainty shock,combined,nickel,8,0.051572983442211645,vxo,0.05157298344221164,-6.938893903907228e-18
GIRF — aluminium to uncertainty shock,combined,nickel,9,-0.03558069419920737,vxo,-0.03558069419920737,0
GIRF — aluminium to uncertainty shock,combined,nickel,10,0.05076228095348836,vxo,0.05076228095348836,0
GIRF — aluminium to uncertainty shock,combined,nickel,11,0.018277741382281033,vxo,0.01827774138228103,-3.469446951953614e-18
GIRF — aluminium to uncertainty shock,combined,nickel,12,0.08407390813510955,vxo,0.08407390813510954,-1.3877787807814457e-17
GIRF — aluminium to uncertainty shock,combined,nickel,13,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,nickel,14,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,nickel,15,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,nickel,16,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,nickel,17,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,nickel,18,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,nickel,19,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,nickel,20,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,nickel,21,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,nickel,22,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,nickel,23,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,nickel,24,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,platinum,1,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,platinum,2,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,platinum,3,-0.08251275353933016,vxo,-0.08251275353933014,1.3877787807814457e-17
GIRF — aluminium to uncertainty shock,combined,platinum,4,0.028564316095018073,vxo,0.02856431609501808,6.938893903907228e-18
GIRF — aluminium to uncertainty shock,combined,platinum,5,-0.18564011981792372,vxo,-0.1856401198179237,2.7755575615628914e-17
GIRF — aluminium to uncertainty shock,combined,platinum,6,0.3740363658968008,vxo,0.3740363658968008,0
GIRF — aluminium to uncertainty shock,combined,platinum,7,0.2061846431994398,vxo,0.2061846431994398,0
GIRF — aluminium to uncertainty shock,combined,platinum,8,-0.076819064413435,vxo,-0.076819064413435,0
GIRF — aluminium to uncertainty shock,combined,platinum,9,-0.24525826997708658,vxo,-0.24525826997708652,5.551115123125783e-17
GIRF — aluminium to uncertainty shock,combined,platinum,10,0.1570596357999,vxo,0.1570596357999,0
GIRF — aluminium to uncertainty shock,combined,platinum,11,0.1057574507708107,vxo,0.10575745077081068,-1.3877787807814457e-17
GIRF — aluminium to uncertainty shock,combined,platinum,12,-0.24347564901061172,vxo,-0.24347564901061175,-2.7755575615628914e-17
GIRF — aluminium to uncertainty shock,combined,platinum,13,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,platinum,14,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,platinum,15,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,platinum,16,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,platinum,17,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,platinum,18,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,platinum,19,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,platinum,20,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,platinum,21,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,platinum,22,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,platinum,23,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,platinum,24,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,silver,1,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,silver,2,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,silver,3,0.13367723365863943,vxo,0.13367723365863943,0
GIRF — aluminium to uncertainty shock,combined,silver,4,0.0025638472950224194,vxo,0.00256384729502242,4.336808689942018e-19
GIRF — aluminium to uncertainty shock,combined,silver,5,-0.23667632008471023,vxo,-0.23667632008471023,0
